file,status,method,n
error_de__v1_318588672738_0.jpg,"rejected (rim 0.78, fill 0.79)",hough,0
error_de__v1_318588674410_0.jpg,"rejected (rim 0.87, fill 0.75)",hough,0
error_de__v1_318588677121_0.jpg,"rejected (rim 0.83, fill 0.82)",hough,0
error_de__v1_318588677964_0.jpg,"rejected (rim 0.85, fill 0.83)",threshold,0
error_de__v1_318588681372_0.png,ok,threshold,1
error_de__v1_318588681941_0.png,ok,threshold,1
error_de__v1_318588682570_0.jpg,"rejected (rim 0.96, fill 0.83)",threshold,0
error_de__v1_318588683116_0.jpg,"rejected (rim 0.89, fill 0.78)",hough,0
error_de__v1_318588685690_0.jpg,"rejected (rim 0.87, fill 0.80)",hough,0
error_de__v1_318588691016_0.jpg,"rejected (rim 0.82, fill 0.82)",hough,0
error_de__v1_318588692012_0.jpg,"rejected (rim 0.86, fill 0.84)",threshold,0
error_de__v1_318588782351_0.png,ok,hough,1
error_de__v1_318628510424_0.png,ok,hough,1
error_de__v1_326452756044_0.png,ok,hough,1
error_de__v1_327270843515_0.png,ok,threshold,1
error_de__v1_335724088943_0.jpg,"rejected (rim 0.76, fill 0.72)",hough,0
error_de__v1_336641010007_0_a.png,ok,hough,2
error_de__v1_336641010007_0_b.png,ok,hough,2
error_de__v1_336672927649_0.png,ok,threshold,1
error_de__v1_336692665655_0.png,ok,threshold,1
error_de__v1_336705839698_0.png,ok,hough,1
error_de__v1_354928682305_0.png,ok,threshold,1
error_de__v1_354997892030_0.png,ok,hough,1
error_de__v1_354998741159_0.jpg,"rejected (rim 0.57, fill 0.83)",hough,0
error_de__v1_354998849369_0.png,ok,threshold,1
error_de__v1_355010447401_0_a.png,ok,threshold,2
error_de__v1_355010447401_0_b.png,ok,threshold,2
error_de__v1_355010461437_0_a.png,ok,threshold,2
error_de__v1_355010461437_0_b.png,ok,threshold,2
error_de__v1_355011459344_0.jpg,"rejected (rim 0.58, fill 0.73)",threshold,0
error_de__v1_355013464950_0_a.png,ok,hough,2
error_de__v1_355013464950_0_b.png,ok,hough,2
error_de__v1_355021875939_0.png,ok,threshold,1
error_de__v1_355021877968_0.png,ok,threshold,1
error_de__v1_355021953259_0.jpg,"rejected (rim 0.90, fill 0.75)",threshold,0
error_de__v1_355034973330_0_a.png,ok,hough,2
error_de__v1_355034973330_0_b.png,ok,hough,2
error_de__v1_355036957621_0_a.png,ok,hough,2
error_de__v1_355036957621_0_b.png,ok,hough,2
error_de__v1_355036973340_0_a.png,ok,hough,2
error_de__v1_355036973340_0_b.png,ok,hough,2
error_de__v1_355049041377_0.png,ok,threshold,1
error_de__v1_355051320393_0_a.png,ok,hough,2
error_de__v1_355051320393_0_b.png,ok,hough,2
